date,position_count,gross_market_value,net_market_value,gross_exposure,net_exposure,cash_proxy,turnover,turnover_rate,missing_price_count,forward_filled_price_count,fill_price_fallback_count
2025-08-01 00:00:00,2,994771.0,994771.0,0.9804789807777865,0.9804789807777865,19805.56870000006,994771.0,0.9804789807777865,2,0,2
2025-08-04 00:00:00,2,994771.0,994771.0,0.9764637031779124,0.9764637031779124,23977.56870000006,0.0,0.0,2,0,2
2025-08-05 00:00:00,2,994771.0,994771.0,0.9537597424320009,0.9537597424320009,48228.568699999945,0.0,0.0,2,0,2
2025-08-06 00:00:00,0,0.0,0.0,0.0,0.0,1053375.9407,1048760.0,0.9956179550703118,0,0,0
2025-08-07 00:00:00,2,999200.0,999200.0,0.923606347950016,0.923606347950016,82646.18069999991,999200.0,0.923606347950016,2,0,2
2025-08-08 00:00:00,2,999200.0,999200.0,0.8924048570896651,0.8924048570896651,120471.18069999991,0.0,0.0,2,0,2
2025-08-11 00:00:00,1,500400.0,500400.0,0.43850902260842517,0.43850902260842517,640739.5756999999,555350.0,0.48666264129813935,1,0,1
2025-08-12 00:00:00,1,499729.99999999994,499729.99999999994,0.4368740158427219,0.4368740158427219,644146.6827,1036310.0,0.9059630427590322,1,0,1
2025-08-13 00:00:00,2,1003730.0,1003730.0,0.8837304647995661,0.8837304647995661,132057.48269999982,504000.0,0.44374498546320357,2,0,2
2025-08-14 00:00:00,2,1003730.0,1003730.0,0.9200627313478696,0.9200627313478696,87206.48270000005,0.0,0.0,2,0,2
2025-08-15 00:00:00,0,0.0,0.0,0.0,0.0,1096450.8957,955290.0,0.8712565275347971,0,0,0
2025-08-18 00:00:00,2,1010061.0,1010061.0,0.9038416411437695,0.9038416411437695,107458.87739999988,1010061.0,0.9038416411437695,2,0,2
2025-08-19 00:00:00,2,1010061.0,1010061.0,0.8978568387904454,0.8978568387904454,114907.87739999988,0.0,0.0,2,0,2
2025-08-20 00:00:00,2,1010061.0,1010061.0,0.9001348430531901,0.9001348430531901,112060.87739999988,0.0,0.0,2,0,2
2025-08-21 00:00:00,0,0.0,0.0,0.0,0.0,1130583.4344,1044810.0,0.9241334767605897,0,0,0
2025-08-22 00:00:00,2,1047762.0,1047762.0,0.9300608419314538,0.9300608419314538,78790.10579999979,1047762.0,0.9300608419314538,2,0,2
