vt_symbol,entry_datetime,exit_datetime,entry_price,exit_price,volume,holding_calendar_days,holding_trading_days,gross_return,gross_pnl,reason,status
605368.SSE,2025-12-15 00:00:00,2025-12-18 00:00:00,7.87,7.65,62700.0,3.0,3.0,-0.027954256670902122,-13793.999999999984,,closed
300344.SZSE,2025-12-19 00:00:00,2025-12-22 00:00:00,1.14,1.1,420100.0,3.0,1.0,-0.0350877192982455,-16803.99999999992,,closed
300344.SZSE,2025-12-23 00:00:00,2025-12-24 00:00:00,1.35,1.06,390600.0,1.0,1.0,-0.2148148148148148,-113274.00000000001,,closed
300344.SZSE,2025-12-25 00:00:00,2025-12-30 00:00:00,1.11,1.11,442400.0,5.0,3.0,0.0,0.0,,closed
605580.SSE,2025-12-31 00:00:00,2026-01-07 00:00:00,23.39,22.8,21500.0,7.0,3.0,-0.025224454895254378,-12684.999999999996,,closed
300391.SZSE,2026-01-08 00:00:00,2026-01-13 00:00:00,0.84,0.8,595200.0,5.0,3.0,-0.04761904761904756,-23807.999999999956,,closed
002702.SZSE,2026-01-14 00:00:00,2026-01-19 00:00:00,7.03,6.75,70400.0,5.0,3.0,-0.03982930298719778,-19712.00000000002,,closed
300391.SZSE,2026-01-20 00:00:00,2026-01-21 00:00:00,0.44,0.59,1136300.0,1.0,1.0,0.34090909090909083,170444.99999999997,,closed
600537.SSE,2026-01-22 00:00:00,2026-01-27 00:00:00,3.0,3.3,166600.0,5.0,3.0,0.09999999999999987,49979.99999999997,,closed
600340.SSE,2026-01-28 00:00:00,2026-01-29 00:00:00,1.69,1.64,292300.0,1.0,1.0,-0.029585798816568087,-14615.000000000013,,closed
000592.SZSE,2026-01-30 00:00:00,2026-02-03 00:00:00,10.46,10.11,47300.0,4.0,2.0,-0.03346080305927357,-16555.000000000065,,closed
000056.SZSE,2026-02-04 00:00:00,2026-02-06 00:00:00,1.81,2.1,279300.0,2.0,2.0,0.16022099447513805,80997.00000000001,,closed
000016.SZSE,2026-02-09 00:00:00,2026-02-10 00:00:00,3.73,4.12,135800.0,1.0,1.0,0.10455764075067031,52962.000000000015,,closed
300561.SZSE,2026-02-11 00:00:00,2026-02-13 00:00:00,13.06,11.69,38000.0,2.0,2.0,-0.10490045941807047,-52060.00000000004,,closed
300313.SZSE,2026-02-24 00:00:00,2026-02-27 00:00:00,7.2,7.4,70200.0,3.0,3.0,0.0277777777777779,14040.000000000013,,closed
920090.BSE,2026-03-02 00:00:00,2026-03-05 00:00:00,6.3,6.95,76200.0,3.0,3.0,0.10317460317460325,49530.00000000003,,closed
600599.SSE,2026-03-06 00:00:00,2026-03-09 00:00:00,4.41,4.19,107700.0,3.0,1.0,-0.049886621315192725,-23693.999999999975,,closed
688768.SSE,2026-03-10 00:00:00,2026-03-13 00:00:00,51.5,50.03,9700.0,3.0,3.0,-0.02854368932038831,-14258.999999999989,,closed
000004.SZSE,2026-03-16 00:00:00,2026-03-17 00:00:00,6.35,5.56,81100.0,1.0,1.0,-0.1244094488188977,-64069.0,,closed
300395.SZSE,2026-03-18 00:00:00,2026-03-20 00:00:00,110.72,101.98,4500.0,2.0,2.0,-0.07893786127167624,-39329.99999999998,,closed
920100.BSE,2026-03-23 00:00:00,2026-03-24 00:00:00,52.39,50.0,9600.0,1.0,1.0,-0.04561939301393392,-22944.000000000007,,closed
003012.SZSE,2026-03-25 00:00:00,2026-03-30 00:00:00,6.2,6.24,80600.0,5.0,3.0,0.006451612903225712,3224.0000000000027,,closed
603358.SSE,2026-03-31 00:00:00,2026-04-03 00:00:00,33.85,36.0,15000.0,3.0,3.0,0.06351550960118169,32249.999999999978,,closed
603388.SSE,2025-11-11 00:00:00,,0.58,,862000.0,,,,,,open_at_end
600355.SSE,2026-04-07 00:00:00,,0.58,,862000.0,,,,,,open_at_end
