date,trade_count,turnover,commission,slippage,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,daily_return,log_return,high_watermark,drawdown_amount,drawdown
2025-08-01 00:00:00,2,994771.0,298.43129999999996,0.0,14875.000000000065,0.0,14875.000000000065,14576.568700000065,1014576.5687000001,0.014576568700000125,0.014471351758015411,1014576.5687000001,0.0,0.0
2025-08-04 00:00:00,0,0.0,0.0,0.0,0.0,4172.0000000000155,4172.0000000000155,4172.0000000000155,1018748.5687000001,0.0041120602709618925,0.004103628856878065,1018748.5687000001,0.0,0.0
2025-08-05 00:00:00,0,0.0,0.0,0.0,0.0,24250.999999999913,24250.999999999913,24250.999999999913,1042999.5687,0.02380469602126256,0.02352578188496041,1042999.5687,0.0,0.0
2025-08-06 00:00:00,2,1048760.0,314.62799999999993,0.0,19035.00000000001,-8344.000000000031,10690.99999999998,10376.371999999981,1053375.9407,0.009948587047771351,0.009899425644422257,1053375.9407,0.0,0.0
2025-08-07 00:00:00,2,999200.0,299.76,0.0,28769.99999999997,0.0,28769.99999999997,28470.23999999997,1081846.1807,0.027027615592853493,0.026668820159249203,1081846.1807,0.0,0.0
2025-08-08 00:00:00,0,0.0,0.0,0.0,0.0,37825.00000000005,37825.00000000005,37825.00000000005,1119671.1807,0.03496338081586203,0.034366045237175624,1119671.1807,0.0,0.0
2025-08-11 00:00:00,1,555350.0,166.605,0.0,-8120.000000000033,29754.999999999956,21634.99999999992,21468.394999999924,1141139.5757,0.01917383904315395,0.018992337377556196,1141139.5757,0.0,0.0
2025-08-12 00:00:00,2,1036310.0,310.893,0.0,16188.000000000038,-13140.000000000007,3048.000000000031,2737.107000000031,1143876.6827,0.0023985733719917857,0.0023957013864100286,1143876.6827,0.0,0.0
2025-08-13 00:00:00,1,504000.0,151.2,0.0,-4550.000000000027,-3388.0000000000136,-7938.000000000041,-8089.200000000041,1135787.4826999998,-0.007071741318221858,-0.007096864594462849,1143876.6827,-8089.200000000186,-0.007071741318221858
2025-08-14 00:00:00,0,0.0,0.0,0.0,0.0,-44850.99999999991,-44850.99999999991,-44850.99999999991,1090936.4827,-0.039488901474226235,-0.04028974189413703,1143876.6827,-52940.19999999995,-0.046281387496281634
