vt_symbol,direction,offset,price,volume,datetime,reason
920748.BSE,Long,Open,40.8,12100,2025-10-23 00:00:00,
600745.SSE,Long,Open,40.8,12100,2025-10-24 00:00:00,
920748.BSE,Short,Close,45.5,12100,2025-10-28 00:00:00,
600105.SSE,Long,Open,16.09,31000,2025-10-29 00:00:00,
600745.SSE,Short,Close,44.5,12100,2025-10-29 00:00:00,
300765.SZSE,Long,Open,34.68,14300,2025-10-30 00:00:00,
600105.SSE,Short,Close,15.22,31000,2025-10-31 00:00:00,
300740.SZSE,Long,Open,20.53,24400,2025-11-03 00:00:00,
300765.SZSE,Short,Close,35.0,14300,2025-11-04 00:00:00,
688496.SSE,Long,Open,6.31,78400,2025-11-05 00:00:00,
300740.SZSE,Short,Close,20.73,24400,2025-11-06 00:00:00,
300897.SZSE,Long,Open,25.36,19700,2025-11-07 00:00:00,
688496.SSE,Short,Close,6.8,78400,2025-11-10 00:00:00,
603388.SSE,Long,Open,0.58,862000,2025-11-11 00:00:00,
300897.SZSE,Short,Close,25.47,19700,2025-11-12 00:00:00,
605198.SSE,Long,Open,40.82,12200,2025-11-13 00:00:00,
605198.SSE,Short,Close,39.5,12200,2025-11-18 00:00:00,
300844.SZSE,Long,Open,38.79,12700,2025-11-19 00:00:00,
300844.SZSE,Short,Close,39.32,12700,2025-11-24 00:00:00,
688216.SSE,Long,Open,22.11,22700,2025-11-25 00:00:00,
688216.SSE,Short,Close,22.78,22700,2025-11-28 00:00:00,
688733.SSE,Long,Open,33.69,15200,2025-12-01 00:00:00,
688733.SSE,Short,Close,30.6,15200,2025-12-04 00:00:00,
300672.SZSE,Long,Open,99.55,5000,2025-12-05 00:00:00,
300672.SZSE,Short,Close,101.48,5000,2025-12-10 00:00:00,
002689.SZSE,Long,Open,3.37,147000,2025-12-11 00:00:00,
002689.SZSE,Short,Close,3.24,147000,2025-12-12 00:00:00,
605368.SSE,Long,Open,7.87,62700,2025-12-15 00:00:00,
605368.SSE,Short,Close,7.65,62700,2025-12-18 00:00:00,
300344.SZSE,Long,Open,1.14,420100,2025-12-19 00:00:00,
300344.SZSE,Short,Close,1.1,420100,2025-12-22 00:00:00,
300344.SZSE,Long,Open,1.35,390600,2025-12-23 00:00:00,
300344.SZSE,Short,Close,1.06,390600,2025-12-24 00:00:00,
300344.SZSE,Long,Open,1.11,442400,2025-12-25 00:00:00,
300344.SZSE,Short,Close,1.11,442400,2025-12-30 00:00:00,
605580.SSE,Long,Open,23.39,21500,2025-12-31 00:00:00,
605580.SSE,Short,Close,22.8,21500,2026-01-07 00:00:00,
300391.SZSE,Long,Open,0.84,595200,2026-01-08 00:00:00,
300391.SZSE,Short,Close,0.8,595200,2026-01-13 00:00:00,
002702.SZSE,Long,Open,7.03,70400,2026-01-14 00:00:00,
002702.SZSE,Short,Close,6.75,70400,2026-01-19 00:00:00,
300391.SZSE,Long,Open,0.44,1136300,2026-01-20 00:00:00,
300391.SZSE,Short,Close,0.59,1136300,2026-01-21 00:00:00,
600537.SSE,Long,Open,3.0,166600,2026-01-22 00:00:00,
600537.SSE,Short,Close,3.3,166600,2026-01-27 00:00:00,
600340.SSE,Long,Open,1.69,292300,2026-01-28 00:00:00,
600340.SSE,Short,Close,1.64,292300,2026-01-29 00:00:00,
000592.SZSE,Long,Open,10.46,47300,2026-01-30 00:00:00,
000592.SZSE,Short,Close,10.11,47300,2026-02-03 00:00:00,
000056.SZSE,Long,Open,1.81,279300,2026-02-04 00:00:00,
000056.SZSE,Short,Close,2.1,279300,2026-02-06 00:00:00,
000016.SZSE,Long,Open,3.73,135800,2026-02-09 00:00:00,
000016.SZSE,Short,Close,4.12,135800,2026-02-10 00:00:00,
300561.SZSE,Long,Open,13.06,38000,2026-02-11 00:00:00,
300561.SZSE,Short,Close,11.69,38000,2026-02-13 00:00:00,
300313.SZSE,Long,Open,7.2,70200,2026-02-24 00:00:00,
300313.SZSE,Short,Close,7.4,70200,2026-02-27 00:00:00,
920090.BSE,Long,Open,6.3,76200,2026-03-02 00:00:00,
920090.BSE,Short,Close,6.95,76200,2026-03-05 00:00:00,
600599.SSE,Long,Open,4.41,107700,2026-03-06 00:00:00,
600599.SSE,Short,Close,4.19,107700,2026-03-09 00:00:00,
688768.SSE,Long,Open,51.5,9700,2026-03-10 00:00:00,
688768.SSE,Short,Close,50.03,9700,2026-03-13 00:00:00,
000004.SZSE,Long,Open,6.35,81100,2026-03-16 00:00:00,
000004.SZSE,Short,Close,5.56,81100,2026-03-17 00:00:00,
300395.SZSE,Long,Open,110.72,4500,2026-03-18 00:00:00,
300395.SZSE,Short,Close,101.98,4500,2026-03-20 00:00:00,
920100.BSE,Long,Open,52.39,9600,2026-03-23 00:00:00,
920100.BSE,Short,Close,50.0,9600,2026-03-24 00:00:00,
003012.SZSE,Long,Open,6.2,80600,2026-03-25 00:00:00,
003012.SZSE,Short,Close,6.24,80600,2026-03-30 00:00:00,
603358.SSE,Long,Open,33.85,15000,2026-03-31 00:00:00,
603358.SSE,Short,Close,36.0,15000,2026-04-03 00:00:00,
600355.SSE,Long,Open,0.58,862000,2026-04-07 00:00:00,
