vt_symbol,direction,offset,price,volume,datetime,reason
000851.SZSE,Long,Open,2.11,234700,2025-08-01 00:00:00,
603888.SSE,Long,Open,19.14,26100,2025-08-01 00:00:00,
000851.SZSE,Short,Close,2.3,234700,2025-08-06 00:00:00,
603888.SSE,Short,Close,19.5,26100,2025-08-06 00:00:00,
301161.SZSE,Long,Open,34.4,14500,2025-08-07 00:00:00,
301201.SZSE,Long,Open,27.8,18000,2025-08-07 00:00:00,
301161.SZSE,Short,Close,38.3,14500,2025-08-11 00:00:00,
603051.SSE,Long,Open,20.65,24200,2025-08-12 00:00:00,
301201.SZSE,Short,Close,29.81,18000,2025-08-12 00:00:00,
920706.BSE,Long,Open,28.8,17500,2025-08-13 00:00:00,
603051.SSE,Short,Close,19.95,24200,2025-08-15 00:00:00,
920706.BSE,Short,Close,27.0,17500,2025-08-15 00:00:00,
605299.SSE,Long,Open,9.81,50700,2025-08-18 00:00:00,
920407.BSE,Long,Open,18.78,27300,2025-08-18 00:00:00,
920407.BSE,Short,Close,19.96,27300,2025-08-21 00:00:00,
605299.SSE,Short,Close,9.86,50700,2025-08-21 00:00:00,
600246.SSE,Long,Open,11.61,47300,2025-08-22 00:00:00,
300708.SZSE,Long,Open,9.39,53100,2025-08-22 00:00:00,
600246.SSE,Short,Close,12.77,47300,2025-08-25 00:00:00,
605378.SSE,Long,Open,26.36,18800,2025-08-26 00:00:00,
300708.SZSE,Short,Close,9.37,53100,2025-08-27 00:00:00,
301479.SZSE,Long,Open,102.23,4800,2025-08-28 00:00:00,
605378.SSE,Short,Close,24.87,18800,2025-08-28 00:00:00,
300126.SZSE,Long,Open,7.14,70100,2025-08-29 00:00:00,
301479.SZSE,Short,Close,101.0,4800,2025-09-02 00:00:00,
300126.SZSE,Short,Close,7.19,70100,2025-09-03 00:00:00,
605009.SSE,Long,Open,34.56,14400,2025-09-03 00:00:00,
300499.SZSE,Long,Open,29.82,16700,2025-09-04 00:00:00,
300499.SZSE,Short,Close,28.1,16700,2025-09-05 00:00:00,
300553.SZSE,Long,Open,37.92,13100,2025-09-08 00:00:00,
605009.SSE,Short,Close,34.23,14400,2025-09-08 00:00:00,
688448.SSE,Long,Open,46.64,10700,2025-09-09 00:00:00,
688448.SSE,Short,Close,43.9,10700,2025-09-10 00:00:00,
601606.SSE,Long,Open,46.27,10800,2025-09-11 00:00:00,
300553.SZSE,Short,Close,40.33,13100,2025-09-11 00:00:00,
000851.SZSE,Long,Open,0.63,757500,2025-09-12 00:00:00,
000851.SZSE,Short,Close,0.6,757500,2025-09-15 00:00:00,
301357.SZSE,Long,Open,131.16,3800,2025-09-16 00:00:00,
601606.SSE,Short,Close,48.98,10800,2025-09-16 00:00:00,
301205.SZSE,Long,Open,107.7,4500,2025-09-17 00:00:00,
301357.SZSE,Short,Close,121.61,3800,2025-09-19 00:00:00,
000851.SZSE,Long,Open,0.46,1041600,2025-09-22 00:00:00,
301205.SZSE,Short,Close,110.5,4500,2025-09-22 00:00:00,
000851.SZSE,Short,Close,0.44,1041600,2025-09-23 00:00:00,
000880.SZSE,Long,Open,33.45,14900,2025-09-23 00:00:00,
300152.SZSE,Long,Open,2.23,221200,2025-09-24 00:00:00,
000880.SZSE,Short,Close,34.6,14900,2025-09-26 00:00:00,
300152.SZSE,Short,Close,2.23,221200,2025-09-29 00:00:00,
300379.SZSE,Long,Open,2.41,204000,2025-09-29 00:00:00,
688166.SSE,Long,Open,61.5,8400,2025-09-30 00:00:00,
300379.SZSE,Short,Close,2.2,204000,2025-09-30 00:00:00,
300205.SZSE,Long,Open,4.61,108400,2025-10-09 00:00:00,
688166.SSE,Short,Close,54.85,8400,2025-10-13 00:00:00,
300205.SZSE,Short,Close,4.62,108400,2025-10-14 00:00:00,
688189.SSE,Long,Open,8.04,62700,2025-10-14 00:00:00,
600322.SSE,Long,Open,2.61,193000,2025-10-15 00:00:00,
688189.SSE,Short,Close,8.29,62700,2025-10-17 00:00:00,
600322.SSE,Short,Close,2.56,193000,2025-10-20 00:00:00,
300237.SZSE,Long,Open,2.45,200000,2025-10-20 00:00:00,
688313.SSE,Long,Open,58.93,8400,2025-10-21 00:00:00,
688313.SSE,Short,Close,67.5,8400,2025-10-22 00:00:00,
300237.SZSE,Short,Close,2.5,200000,2025-10-23 00:00:00,
