vt_symbol,direction,offset,price,volume,datetime
688027.SSE,Short,Close,476.72,100,2025-11-17 00:00:00
688498.SSE,Short,Close,530.99,100,2025-11-17 00:00:00
688353.SSE,Long,Open,130.0,700,2025-11-18 00:00:00
688411.SSE,Long,Open,351.01,200,2025-11-18 00:00:00
688353.SSE,Short,Close,115.23,700,2025-11-19 00:00:00
688411.SSE,Short,Close,317.99,200,2025-11-19 00:00:00
603516.SSE,Short,Close,210.0,500,2025-11-20 00:00:00
688353.SSE,Long,Open,114.77,800,2025-11-20 00:00:00
688411.SSE,Long,Open,314.03,300,2025-11-20 00:00:00
688068.SSE,Long,Open,171.42,500,2025-11-21 00:00:00
688353.SSE,Short,Close,100.0,800,2025-11-21 00:00:00
688353.SSE,Long,Open,95.0,1000,2025-11-24 00:00:00
688411.SSE,Short,Close,291.0,300,2025-11-24 00:00:00
688195.SSE,Long,Open,180.0,500,2025-11-25 00:00:00
688068.SSE,Short,Close,178.51,500,2025-11-28 00:00:00
688353.SSE,Short,Close,110.0,1000,2025-11-28 00:00:00
300620.SZSE,Long,Open,153.0,600,2025-12-01 00:00:00
688205.SSE,Long,Open,124.5,800,2025-12-01 00:00:00
688195.SSE,Short,Close,175.58,500,2025-12-02 00:00:00
300308.SZSE,Long,Open,540.54,100,2025-12-03 00:00:00
300620.SZSE,Short,Close,142.36,600,2025-12-03 00:00:00
300502.SZSE,Long,Open,367.13,200,2025-12-04 00:00:00
688205.SSE,Short,Close,123.0,800,2025-12-08 00:00:00
605255.SSE,Long,Open,137.08,700,2025-12-09 00:00:00
300308.SZSE,Short,Close,609.06,100,2025-12-10 00:00:00
300502.SZSE,Short,Close,418.0,200,2025-12-10 00:00:00
300394.SZSE,Long,Open,231.0,400,2025-12-11 00:00:00
688498.SSE,Long,Open,685.02,100,2025-12-11 00:00:00
300394.SZSE,Short,Close,218.9,400,2025-12-12 00:00:00
300394.SZSE,Long,Open,207.97,400,2025-12-15 00:00:00
605255.SSE,Short,Close,148.13,700,2025-12-16 00:00:00
688498.SSE,Short,Close,640.0,100,2025-12-16 00:00:00
300394.SZSE,Short,Close,201.29,400,2025-12-17 00:00:00
688205.SSE,Long,Open,153.53,600,2025-12-17 00:00:00
688498.SSE,Long,Open,610.0,100,2025-12-17 00:00:00
300751.SZSE,Long,Open,152.19,600,2025-12-18 00:00:00
688498.SSE,Short,Close,649.01,100,2025-12-18 00:00:00
920576.BSE,Long,Open,83.0,1200,2025-12-19 00:00:00
688205.SSE,Short,Close,158.32,600,2025-12-24 00:00:00
920576.BSE,Short,Close,72.6,1200,2025-12-24 00:00:00
300751.SZSE,Short,Close,167.09,600,2025-12-25 00:00:00
301205.SZSE,Long,Open,177.0,500,2025-12-25 00:00:00
301306.SZSE,Long,Open,106.08,900,2025-12-25 00:00:00
688627.SSE,Long,Open,253.1,300,2025-12-26 00:00:00
301205.SZSE,Short,Close,169.0,500,2025-12-29 00:00:00
301306.SZSE,Short,Close,116.2,900,2025-12-29 00:00:00
300308.SZSE,Long,Open,618.1,100,2025-12-30 00:00:00
688125.SSE,Long,Open,132.0,700,2025-12-30 00:00:00
688627.SSE,Short,Close,241.5,300,2025-12-31 00:00:00
301005.SZSE,Long,Open,154.99,600,2026-01-05 00:00:00
300308.SZSE,Short,Close,611.1,100,2026-01-08 00:00:00
688125.SSE,Short,Close,180.0,700,2026-01-08 00:00:00
301005.SZSE,Short,Close,177.0,600,2026-01-09 00:00:00
301225.SZSE,Long,Open,148.62,600,2026-01-09 00:00:00
301232.SZSE,Long,Open,187.0,500,2026-01-09 00:00:00
301550.SZSE,Long,Open,178.21,500,2026-01-12 00:00:00
301232.SZSE,Short,Close,205.99,500,2026-01-13 00:00:00
688027.SSE,Long,Open,609.0,100,2026-01-14 00:00:00
301225.SZSE,Short,Close,145.0,600,2026-01-16 00:00:00
301550.SZSE,Short,Close,203.27,500,2026-01-19 00:00:00
688809.SSE,Long,Open,382.0,200,2026-01-19 00:00:00
688615.SSE,Long,Open,313.37,300,2026-01-20 00:00:00
688027.SSE,Short,Close,584.93,100,2026-01-21 00:00:00
301629.SZSE,Long,Open,338.0,200,2026-01-22 00:00:00
688809.SSE,Short,Close,368.83,200,2026-01-22 00:00:00
301308.SZSE,Long,Open,352.2,200,2026-01-23 00:00:00
301629.SZSE,Short,Close,306.02,200,2026-01-27 00:00:00
688615.SSE,Short,Close,296.5,300,2026-01-27 00:00:00
300751.SZSE,Long,Open,343.0,200,2026-01-28 00:00:00
603061.SSE,Long,Open,292.92,300,2026-01-28 00:00:00
300751.SZSE,Short,Close,339.91,200,2026-01-29 00:00:00
300751.SZSE,Long,Open,326.01,300,2026-01-30 00:00:00
301308.SZSE,Short,Close,348.0,200,2026-01-30 00:00:00
301232.SZSE,Long,Open,245.0,400,2026-02-02 00:00:00
300751.SZSE,Short,Close,322.0,300,2026-02-03 00:00:00
301232.SZSE,Short,Close,230.87,400,2026-02-03 00:00:00
603061.SSE,Short,Close,273.0,300,2026-02-04 00:00:00
688498.SSE,Long,Open,801.0,100,2026-02-04 00:00:00
688766.SSE,Long,Open,274.38,300,2026-02-04 00:00:00
688167.SSE,Long,Open,295.11,300,2026-02-05 00:00:00
688167.SSE,Short,Close,289.05,300,2026-02-06 00:00:00
688498.SSE,Short,Close,718.0,100,2026-02-06 00:00:00
688766.SSE,Short,Close,269.53,300,2026-02-06 00:00:00
688167.SSE,Long,Open,306.0,300,2026-02-09 00:00:00
688583.SSE,Long,Open,157.7,600,2026-02-09 00:00:00
688167.SSE,Short,Close,336.26,300,2026-02-10 00:00:00
300757.SZSE,Long,Open,408.19,200,2026-02-11 00:00:00
688167.SSE,Long,Open,338.78,200,2026-02-11 00:00:00
688583.SSE,Short,Close,155.0,600,2026-02-24 00:00:00
688027.SSE,Long,Open,655.41,100,2026-02-25 00:00:00
688167.SSE,Short,Close,390.0,200,2026-02-25 00:00:00
300757.SZSE,Short,Close,397.4,200,2026-02-26 00:00:00
688167.SSE,Long,Open,395.13,200,2026-02-26 00:00:00
300394.SZSE,Long,Open,341.02,200,2026-02-27 00:00:00
688167.SSE,Short,Close,370.0,200,2026-03-03 00:00:00
300394.SZSE,Short,Close,328.3,200,2026-03-04 00:00:00
688027.SSE,Short,Close,610.0,100,2026-03-04 00:00:00
688125.SSE,Long,Open,240.1,400,2026-03-04 00:00:00
688072.SSE,Long,Open,388.0,200,2026-03-05 00:00:00
688498.SSE,Long,Open,899.98,100,2026-03-05 00:00:00
688072.SSE,Short,Close,371.65,200,2026-03-10 00:00:00
688498.SSE,Short,Close,830.0,100,2026-03-10 00:00:00
301626.SZSE,Long,Open,254.11,300,2026-03-11 00:00:00
688125.SSE,Short,Close,249.2,400,2026-03-11 00:00:00
688498.SSE,Long,Open,909.09,100,2026-03-11 00:00:00
688525.SSE,Long,Open,214.32,400,2026-03-12 00:00:00
688525.SSE,Short,Close,201.0,400,2026-03-13 00:00:00
301205.SZSE,Long,Open,224.0,400,2026-03-16 00:00:00
301626.SZSE,Short,Close,243.25,300,2026-03-18 00:00:00
688498.SSE,Short,Close,848.0,100,2026-03-18 00:00:00
001309.SZSE,Long,Open,357.0,200,2026-03-19 00:00:00
301396.SZSE,Long,Open,157.46,600,2026-03-19 00:00:00
001309.SZSE,Short,Close,349.5,200,2026-03-20 00:00:00
301396.SZSE,Short,Close,174.67,600,2026-03-20 00:00:00
001309.SZSE,Long,Open,320.0,300,2026-03-23 00:00:00
301205.SZSE,Short,Close,211.91,400,2026-03-23 00:00:00
301396.SZSE,Long,Open,155.0,600,2026-03-23 00:00:00
