vt_symbol,direction,offset,price,volume,datetime,reason
603082.SSE,Short,Close,33.28,10600,2026-07-27 00:00:00,
001399.SZSE,Long,Open,25.72,12500,2026-07-28 00:00:00,
301396.SZSE,Long,Open,171.87,1800,2026-07-28 00:00:00,
001399.SZSE,Short,Close,24.52,12500,2026-07-29 00:00:00,
301396.SZSE,Short,Close,159.95,1800,2026-07-29 00:00:00,
300548.SZSE,Long,Open,145.0,2200,2026-07-30 00:00:00,
688661.SSE,Long,Open,78.04,4100,2026-07-30 00:00:00,
920305.BSE,Short,Close,0.4,202400,2026-07-30 00:00:00,
300260.SZSE,Long,Open,48.35,7400,2026-07-31 00:00:00,
300548.SZSE,Short,Close,142.0,2200,2026-07-31 00:00:00,
688661.SSE,Short,Close,76.0,4100,2026-07-31 00:00:00,
688376.SSE,Long,Open,62.9,5300,2026-08-03 00:00:00,
688059.SSE,Long,Open,72.0,4500,2026-08-03 00:00:00,
688376.SSE,Short,Close,59.8,5300,2026-08-04 00:00:00,
