vt_symbol,entry_datetime,exit_datetime,entry_price,exit_price,volume,holding_calendar_days,holding_trading_days,gross_return,gross_pnl,reason,status
002715.SZSE,2025-08-04 00:00:00,2025-08-07 00:00:00,17.43,18.4,18900.0,3.0,3.0,0.055651176133103775,18332.999999999978,,closed
603325.SSE,2025-08-06 00:00:00,2025-08-11 00:00:00,88.75,89.89,3700.0,5.0,3.0,0.012845070422535132,4218.000000000002,,closed
603916.SSE,2025-08-06 00:00:00,2025-08-11 00:00:00,11.29,11.58,29200.0,5.0,3.0,0.025686448184233823,8468.000000000027,,closed
002534.SZSE,2025-08-08 00:00:00,2025-08-13 00:00:00,14.25,14.45,23900.0,5.0,3.0,0.01403508771929829,4779.999999999983,,closed
002857.SZSE,2025-08-12 00:00:00,2025-08-15 00:00:00,24.62,24.45,13300.0,3.0,3.0,-0.006904955320877426,-2261.0000000000227,,closed
603051.SSE,2025-08-12 00:00:00,2025-08-15 00:00:00,20.65,19.95,15900.0,3.0,3.0,-0.03389830508474578,-11129.999999999989,,closed
601696.SSE,2025-08-14 00:00:00,2025-08-18 00:00:00,16.35,18.0,20200.0,4.0,2.0,0.10091743119266039,33329.99999999997,,closed
605299.SSE,2025-08-18 00:00:00,2025-08-21 00:00:00,9.81,9.86,33400.0,3.0,3.0,0.0050968399592252744,1669.9999999999643,,closed
002317.SZSE,2025-08-18 00:00:00,2025-08-21 00:00:00,22.53,22.74,14600.0,3.0,3.0,0.009320905459387463,3065.9999999999604,,closed
600749.SSE,2025-08-19 00:00:00,2025-08-21 00:00:00,30.92,26.96,11200.0,2.0,2.0,-0.12807244501940496,-44352.00000000001,,closed
600246.SSE,2025-08-22 00:00:00,2025-08-25 00:00:00,11.61,12.77,31200.0,3.0,1.0,0.09991386735572783,36192.00000000001,,closed
600619.SSE,2025-08-22 00:00:00,2025-08-26 00:00:00,21.07,23.0,15500.0,4.0,2.0,0.09159943046986241,29914.999999999996,,closed
002307.SZSE,2025-08-22 00:00:00,2025-08-27 00:00:00,4.76,4.81,69400.0,5.0,3.0,0.010504201680672232,3469.9999999999877,,closed
002908.SZSE,2025-08-27 00:00:00,2025-08-28 00:00:00,12.27,11.61,27200.0,1.0,1.0,-0.05378973105134477,-17952.000000000004,,closed
