vt_symbol,entry_datetime,exit_datetime,entry_price,exit_price,volume,holding_calendar_days,holding_trading_days,gross_return,gross_pnl,reason,status
601606.SSE,2025-08-26 00:00:00,2025-08-29 00:00:00,62.26,62.88,5300.0,3.0,3.0,0.00995823964021847,3286.000000000024,,closed
600110.SSE,2025-08-28 00:00:00,2025-09-02 00:00:00,6.9,7.5,47800.0,5.0,3.0,0.08695652173913038,28679.99999999998,,closed
301211.SZSE,2025-08-29 00:00:00,2025-09-03 00:00:00,12.48,13.0,26300.0,5.0,3.0,0.04166666666666674,13675.999999999989,,closed
688179.SSE,2025-09-01 00:00:00,2025-09-04 00:00:00,13.43,12.89,24300.0,3.0,3.0,-0.04020848845867453,-13121.99999999998,,closed
002173.SZSE,2025-09-03 00:00:00,2025-09-08 00:00:00,23.62,22.5,13500.0,5.0,3.0,-0.047417442845046565,-15120.000000000013,,closed
300684.SZSE,2025-09-04 00:00:00,2025-09-09 00:00:00,33.3,35.8,10100.0,5.0,3.0,0.07507507507507505,25250.0,,closed
002189.SZSE,2025-09-05 00:00:00,2025-09-10 00:00:00,23.1,23.57,14200.0,5.0,3.0,0.020346320346320335,6673.999999999984,,closed
300591.SZSE,2025-09-09 00:00:00,2025-09-12 00:00:00,9.75,9.91,33800.0,3.0,3.0,0.016410256410256396,5408.000000000005,,closed
300204.SZSE,2025-09-10 00:00:00,2025-09-15 00:00:00,37.56,40.0,8500.0,5.0,3.0,0.06496272630457933,20739.99999999998,,closed
601606.SSE,2025-09-11 00:00:00,2025-09-16 00:00:00,46.27,48.98,7100.0,5.0,3.0,0.05856926734385115,19240.999999999956,,closed
002174.SZSE,2025-09-15 00:00:00,2025-09-18 00:00:00,12.0,12.52,26900.0,3.0,3.0,0.043333333333333224,13987.999999999989,,closed
301357.SZSE,2025-09-16 00:00:00,2025-09-19 00:00:00,131.16,121.61,2500.0,3.0,3.0,-0.07281183287587678,-23874.999999999993,,closed
301205.SZSE,2025-09-17 00:00:00,2025-09-22 00:00:00,107.7,110.5,3000.0,5.0,3.0,0.02599814298978642,8399.99999999999,,closed
300528.SZSE,2025-09-19 00:00:00,2025-09-23 00:00:00,25.36,23.8,12200.0,4.0,2.0,-0.061514195583596165,-19031.999999999985,,closed
003010.SZSE,2025-09-22 00:00:00,2025-09-25 00:00:00,43.61,43.25,7500.0,3.0,3.0,-0.00825498738821373,-2699.999999999996,,closed
688166.SSE,2025-09-24 00:00:00,2025-09-26 00:00:00,74.0,66.41,4400.0,2.0,2.0,-0.10256756756756757,-33396.000000000015,,closed
000880.SZSE,2025-09-23 00:00:00,2025-09-26 00:00:00,33.45,34.6,9800.0,3.0,3.0,0.034379671150971625,11269.999999999985,,closed
002067.SZSE,2025-09-26 00:00:00,2025-10-09 00:00:00,5.71,6.34,56700.0,13.0,3.0,0.11033274956217154,35720.99999999999,,closed
002989.SZSE,2025-09-29 00:00:00,2025-10-10 00:00:00,32.08,32.07,10400.0,11.0,3.0,-0.00031172069825424753,-103.99999999997931,,closed
688166.SSE,2025-09-29 00:00:00,2025-10-10 00:00:00,59.0,57.5,5600.0,11.0,3.0,-0.025423728813559365,-8400.0,,closed
002488.SZSE,2025-10-13 00:00:00,2025-10-14 00:00:00,11.95,11.38,26900.0,1.0,1.0,-0.047698744769874346,-15332.99999999996,,closed
002545.SZSE,2025-10-10 00:00:00,2025-10-15 00:00:00,13.53,14.09,24100.0,5.0,3.0,0.041389504804139055,13496.000000000013,,closed
002046.SZSE,2025-10-13 00:00:00,2025-10-16 00:00:00,24.74,28.3,12400.0,3.0,3.0,0.14389652384801943,44144.00000000003,,closed
002080.SZSE,2025-10-16 00:00:00,2025-10-20 00:00:00,30.38,29.6,10700.0,4.0,2.0,-0.025674786043449527,-8345.999999999975,,closed
600322.SSE,2025-10-15 00:00:00,2025-10-20 00:00:00,2.61,2.56,127400.0,5.0,3.0,-0.019157088122605304,-6369.999999999977,,closed
002046.SZSE,2025-10-17 00:00:00,2025-10-22 00:00:00,27.06,28.24,12200.0,5.0,3.0,0.043606799704360766,14395.999999999996,,closed
688359.SSE,2025-10-21 00:00:00,2025-10-24 00:00:00,57.71,64.91,5800.0,3.0,3.0,0.12476173973314841,41759.99999999998,,closed
688123.SSE,2025-10-21 00:00:00,2025-10-24 00:00:00,146.0,158.0,2200.0,3.0,3.0,0.08219178082191791,26400.0,,closed
002575.SZSE,2025-10-23 00:00:00,2025-10-27 00:00:00,6.55,6.18,50000.0,4.0,2.0,-0.056488549618320616,-18500.000000000004,,closed
600376.SSE,2025-10-27 00:00:00,2025-10-28 00:00:00,6.4,7.0,52800.0,1.0,1.0,0.09375,31679.99999999998,,closed
688403.SSE,2025-10-28 00:00:00,2025-10-29 00:00:00,17.65,16.88,18300.0,1.0,1.0,-0.04362606232294619,-14090.999999999993,,closed
301190.SZSE,2025-10-27 00:00:00,2025-10-30 00:00:00,22.92,23.67,14400.0,3.0,3.0,0.0327225130890052,10800.0,,closed
600105.SSE,2025-10-29 00:00:00,2025-10-31 00:00:00,16.09,15.22,20500.0,2.0,2.0,-0.054070851460534475,-17834.999999999985,,closed
603863.SSE,2025-10-30 00:00:00,2025-11-04 00:00:00,21.02,20.79,15700.0,5.0,3.0,-0.010941960038059029,-3611.000000000007,,closed
301228.SZSE,2025-10-31 00:00:00,2025-11-04 00:00:00,24.0,27.6,13600.0,4.0,2.0,0.15000000000000013,48960.00000000002,,closed
300740.SZSE,2025-11-03 00:00:00,2025-11-06 00:00:00,20.53,20.73,16100.0,3.0,3.0,0.009741841207988378,3219.9999999999886,,closed
002203.SZSE,2025-11-05 00:00:00,2025-11-10 00:00:00,10.7,10.99,30600.0,5.0,3.0,0.02710280373831786,8874.00000000003,,closed
688596.SSE,2025-11-05 00:00:00,2025-11-10 00:00:00,31.31,31.88,10400.0,5.0,3.0,0.018205046311082773,5928.000000000003,,closed
300897.SZSE,2025-11-07 00:00:00,2025-11-12 00:00:00,25.36,25.47,13000.0,5.0,3.0,0.00433753943217674,1429.9999999999927,,closed
300111.SZSE,2025-11-11 00:00:00,2025-11-13 00:00:00,7.89,7.53,41400.0,2.0,2.0,-0.04562737642585546,-14903.999999999976,,closed
301205.SZSE,2025-11-11 00:00:00,2025-11-14 00:00:00,112.88,103.3,2900.0,3.0,3.0,-0.0848688873139617,-27781.999999999996,,closed
605198.SSE,2025-11-13 00:00:00,2025-11-18 00:00:00,40.82,39.5,8000.0,5.0,3.0,-0.032337089661930385,-10560.000000000002,,closed
601519.SSE,2025-11-14 00:00:00,2025-11-19 00:00:00,12.74,13.1,25500.0,5.0,3.0,0.028257456828885363,9179.999999999985,,closed
603151.SSE,2025-11-17 00:00:00,2025-11-20 00:00:00,19.81,19.3,16600.0,3.0,3.0,-0.025744573447753605,-8465.999999999967,,closed
300255.SZSE,2025-11-19 00:00:00,2025-11-24 00:00:00,57.08,57.7,5700.0,5.0,3.0,0.010861948142957267,3534.000000000026,,closed
688095.SSE,2025-11-20 00:00:00,2025-11-24 00:00:00,98.01,93.0,3200.0,4.0,2.0,-0.051117232935414814,-16032.000000000016,,closed
600429.SSE,2025-11-21 00:00:00,2025-11-26 00:00:00,5.43,5.43,59700.0,5.0,3.0,0.0,0.0,,closed
002998.SZSE,2025-11-25 00:00:00,2025-11-28 00:00:00,7.61,7.8,43600.0,3.0,3.0,0.024967148488830526,8283.999999999978,,closed
688216.SSE,2025-11-25 00:00:00,2025-11-28 00:00:00,22.11,22.78,15000.0,3.0,3.0,0.030303030303030276,10050.000000000025,,closed
000048.SZSE,2025-11-27 00:00:00,2025-12-02 00:00:00,13.77,13.33,23800.0,5.0,3.0,-0.031953522149600566,-10471.999999999987,,closed
603906.SSE,2025-12-01 00:00:00,2025-12-02 00:00:00,20.89,19.76,15800.0,1.0,1.0,-0.0540928674006701,-17853.999999999985,,closed
002971.SZSE,2025-12-01 00:00:00,2025-12-04 00:00:00,32.96,31.79,9900.0,3.0,3.0,-0.035497572815534006,-11583.000000000016,,closed
002136.SZSE,2025-12-03 00:00:00,2025-12-05 00:00:00,13.12,12.21,25500.0,2.0,2.0,-0.06935975609756084,-23204.99999999996,,closed
300475.SZSE,2025-12-03 00:00:00,2025-12-05 00:00:00,129.06,124.33,2500.0,2.0,2.0,-0.036649620331628774,-11825.00000000001,,closed
600829.SSE,2025-12-05 00:00:00,2025-12-10 00:00:00,12.73,12.51,25300.0,5.0,3.0,-0.01728201099764337,-5566.000000000016,,closed
002564.SZSE,2025-12-08 00:00:00,2025-12-11 00:00:00,7.57,7.5,42800.0,3.0,3.0,-0.009247027741083214,-2996.0000000000123,,closed
002208.SZSE,2025-12-08 00:00:00,2025-12-11 00:00:00,11.62,11.8,28300.0,3.0,3.0,0.015490533562822817,5094.000000000042,,closed
001296.SZSE,2025-12-11 00:00:00,2025-12-16 00:00:00,26.58,27.83,12400.0,5.0,3.0,0.047027840481565164,15500.0,,closed
300918.SZSE,2025-12-12 00:00:00,2025-12-17 00:00:00,15.23,15.48,21500.0,5.0,3.0,0.01641497045305318,5375.0,,closed
600576.SSE,2025-12-12 00:00:00,2025-12-17 00:00:00,5.81,5.7,56700.0,5.0,3.0,-0.018932874354561036,-6236.999999999968,,closed
002289.SZSE,2025-12-17 00:00:00,2025-12-18 00:00:00,25.54,24.26,12200.0,1.0,1.0,-0.050117462803445534,-15615.99999999997,,closed
600986.SSE,2025-12-18 00:00:00,2025-12-23 00:00:00,7.19,7.33,45400.0,5.0,3.0,0.01947148817802491,6355.999999999985,,closed
600696.SSE,2025-12-18 00:00:00,2025-12-23 00:00:00,3.22,3.45,97300.0,5.0,3.0,0.0714285714285714,22379.0,,closed
600228.SSE,2025-12-19 00:00:00,2025-12-24 00:00:00,4.75,5.11,68000.0,5.0,3.0,0.07578947368421063,24480.000000000022,,closed
603389.SSE,2025-12-24 00:00:00,2025-12-26 00:00:00,38.3,44.0,8400.0,2.0,2.0,0.14882506527415162,47880.00000000002,,closed
300270.SZSE,2025-12-24 00:00:00,2025-12-29 00:00:00,11.89,11.52,28100.0,5.0,3.0,-0.031118587047939572,-10397.000000000027,,closed
300179.SZSE,2025-12-25 00:00:00,2025-12-30 00:00:00,15.63,15.43,21100.0,5.0,3.0,-0.012795905310300726,-4220.000000000023,,closed
605580.SSE,2025-12-29 00:00:00,2025-12-30 00:00:00,25.87,22.69,12700.0,1.0,1.0,-0.12292230382682645,-40386.0,,closed
300111.SZSE,2025-12-30 00:00:00,2026-01-05 00:00:00,6.32,6.16,51600.0,6.0,2.0,-0.025316455696202556,-8256.000000000007,,closed
003018.SZSE,2025-12-31 00:00:00,2026-01-07 00:00:00,16.44,16.85,20300.0,7.0,3.0,0.024939172749391725,8323.000000000004,,closed
605580.SSE,2025-12-31 00:00:00,2026-01-07 00:00:00,23.39,22.8,14200.0,7.0,3.0,-0.025224454895254378,-8377.999999999998,,closed
605068.SSE,2026-01-06 00:00:00,2026-01-09 00:00:00,25.82,26.83,12700.0,3.0,3.0,0.0391169635941131,12826.999999999975,,closed
002044.SZSE,2026-01-08 00:00:00,2026-01-12 00:00:00,5.4,6.74,60900.0,4.0,2.0,0.248148148148148,81605.99999999999,,closed
002715.SZSE,2026-01-08 00:00:00,2026-01-13 00:00:00,15.2,16.35,21500.0,5.0,3.0,0.07565789473684226,24725.000000000047,,closed
300062.SZSE,2026-01-13 00:00:00,2026-01-14 00:00:00,9.32,10.11,35400.0,1.0,1.0,0.08476394849785396,27965.99999999997,,closed
920510.BSE,2026-01-12 00:00:00,2026-01-15 00:00:00,19.88,19.75,16500.0,3.0,3.0,-0.006539235412474809,-2144.9999999999836,,closed
603992.SSE,2026-01-14 00:00:00,2026-01-19 00:00:00,43.05,42.76,7600.0,5.0,3.0,-0.006736353077816504,-2203.9999999999936,,closed
300548.SZSE,2026-01-15 00:00:00,2026-01-20 00:00:00,126.05,136.98,2500.0,5.0,3.0,0.08671162237207453,27324.99999999998,,closed
002725.SZSE,2026-01-16 00:00:00,2026-01-21 00:00:00,15.3,15.1,21600.0,5.0,3.0,-0.013071895424836666,-4320.000000000023,,closed
603015.SSE,2026-01-20 00:00:00,2026-01-21 00:00:00,16.2,14.71,20300.0,1.0,1.0,-0.09197530864197523,-30246.999999999967,,closed
000036.SZSE,2026-01-21 00:00:00,2026-01-23 00:00:00,5.61,6.89,58800.0,2.0,2.0,0.2281639928698751,75263.99999999996,,closed
300063.SZSE,2026-01-22 00:00:00,2026-01-26 00:00:00,13.73,14.79,24300.0,4.0,2.0,0.07720320466132558,25757.999999999967,,closed
688258.SSE,2026-01-22 00:00:00,2026-01-26 00:00:00,131.0,154.0,2500.0,4.0,2.0,0.17557251908396942,57500.0,,closed
603929.SSE,2026-01-27 00:00:00,2026-01-29 00:00:00,137.77,154.0,2400.0,2.0,2.0,0.11780503738114234,38951.99999999998,,closed
688265.SSE,2026-01-26 00:00:00,2026-01-29 00:00:00,49.06,46.79,6700.0,3.0,3.0,-0.04626987362413382,-15209.000000000022,,closed
301171.SZSE,2026-01-27 00:00:00,2026-01-30 00:00:00,63.6,67.8,5200.0,3.0,3.0,0.06603773584905648,21839.999999999978,,closed
002364.SZSE,2026-01-30 00:00:00,2026-02-02 00:00:00,33.26,30.87,10000.0,3.0,1.0,-0.07185808779314484,-23899.99999999997,,closed
603778.SSE,2026-01-30 00:00:00,2026-02-02 00:00:00,13.82,12.91,23800.0,3.0,1.0,-0.06584659913169322,-21658.000000000004,,closed
603169.SSE,2026-02-02 00:00:00,2026-02-05 00:00:00,10.39,10.73,31700.0,3.0,3.0,0.032723772858517686,10777.999999999996,,closed
605255.SSE,2026-02-03 00:00:00,2026-02-06 00:00:00,133.92,135.4,2400.0,3.0,3.0,0.011051373954599875,3552.0000000000437,,closed
688590.SSE,2026-02-03 00:00:00,2026-02-06 00:00:00,18.4,17.09,18100.0,3.0,3.0,-0.071195652173913,-23710.999999999978,,closed
603039.SSE,2026-02-06 00:00:00,2026-02-09 00:00:00,54.0,53.13,6000.0,3.0,1.0,-0.016111111111111076,-5219.9999999999845,,closed
300164.SZSE,2026-02-09 00:00:00,2026-02-11 00:00:00,12.41,11.47,26100.0,2.0,2.0,-0.07574536663980658,-24533.999999999985,,closed
300561.SZSE,2026-02-09 00:00:00,2026-02-12 00:00:00,13.18,12.81,24800.0,3.0,3.0,-0.028072837632776904,-9175.99999999998,,closed
002397.SZSE,2026-02-10 00:00:00,2026-02-13 00:00:00,4.67,4.5,71200.0,3.0,3.0,-0.03640256959314769,-12103.999999999995,,closed
603588.SSE,2026-02-13 00:00:00,2026-02-25 00:00:00,10.39,11.5,31500.0,12.0,2.0,0.10683349374398454,34964.999999999985,,closed
000004.SZSE,2026-02-24 00:00:00,2026-02-25 00:00:00,7.94,7.54,39400.0,1.0,1.0,-0.05037783375314864,-15760.000000000015,,closed
301313.SZSE,2026-02-12 00:00:00,2026-02-25 00:00:00,34.5,34.35,9500.0,13.0,3.0,-0.004347826086956497,-1424.9999999999866,,closed
003010.SZSE,2026-02-26 00:00:00,2026-03-03 00:00:00,31.62,29.68,10400.0,5.0,3.0,-0.061353573687539575,-20176.000000000015,,closed
300539.SZSE,2026-02-26 00:00:00,2026-03-03 00:00:00,34.25,31.83,9600.0,5.0,3.0,-0.07065693430656939,-23232.000000000015,,closed
603171.SSE,2026-02-26 00:00:00,2026-03-03 00:00:00,60.49,59.81,5400.0,5.0,3.0,-0.011241527525210793,-3671.9999999999986,,closed
002259.SZSE,2026-03-04 00:00:00,2026-03-05 00:00:00,5.65,5.6,57200.0,1.0,1.0,-0.008849557522124019,-2860.0000000000405,,closed
603895.SSE,2026-03-04 00:00:00,2026-03-09 00:00:00,28.8,29.94,11500.0,5.0,3.0,0.039583333333333304,13110.000000000007,,closed
300166.SZSE,2026-03-04 00:00:00,2026-03-09 00:00:00,12.0,12.4,27300.0,5.0,3.0,0.03333333333333344,10920.00000000001,,closed
688710.SSE,2026-03-06 00:00:00,2026-03-11 00:00:00,52.29,55.47,6200.0,5.0,3.0,0.06081468732071138,19716.0,,closed
000004.SZSE,2026-03-10 00:00:00,2026-03-12 00:00:00,5.09,5.87,65000.0,2.0,2.0,0.1532416502946956,50700.000000000015,,closed
605289.SSE,2026-03-10 00:00:00,2026-03-13 00:00:00,134.96,137.0,2400.0,3.0,3.0,0.015115589804386431,4895.999999999981,,closed
601872.SSE,2026-03-12 00:00:00,2026-03-16 00:00:00,16.3,15.58,20200.0,4.0,2.0,-0.04417177914110437,-14544.000000000013,,closed
300164.SZSE,2026-03-13 00:00:00,2026-03-18 00:00:00,20.35,19.38,16700.0,5.0,3.0,-0.047665847665847805,-16199.00000000004,,closed
002517.SZSE,2026-03-16 00:00:00,2026-03-19 00:00:00,19.3,19.06,17100.0,3.0,3.0,-0.012435233160621895,-4104.000000000034,,closed
300017.SZSE,2026-03-17 00:00:00,2026-03-20 00:00:00,17.6,18.45,18900.0,3.0,3.0,0.048295454545454364,16064.99999999996,,closed
300570.SZSE,2026-03-19 00:00:00,2026-03-24 00:00:00,115.01,114.95,2800.0,5.0,3.0,-0.0005216937657595011,-168.00000000000637,,closed
301205.SZSE,2026-03-20 00:00:00,2026-03-24 00:00:00,232.31,206.0,1500.0,4.0,2.0,-0.11325384184925313,-39465.0,,closed
600984.SSE,2026-03-23 00:00:00,2026-03-26 00:00:00,3.81,4.02,84800.0,3.0,3.0,0.055118110236220375,17807.99999999996,,closed
000099.SZSE,2026-03-25 00:00:00,2026-03-30 00:00:00,17.47,17.05,18900.0,5.0,3.0,-0.024041213508872228,-7937.999999999965,,closed
301213.SZSE,2026-03-25 00:00:00,2026-03-30 00:00:00,66.9,66.2,4900.0,5.0,3.0,-0.010463378176382654,-3430.000000000014,,closed
603668.SSE,2026-03-27 00:00:00,2026-03-31 00:00:00,10.64,12.06,30800.0,4.0,2.0,0.13345864661654128,43736.0,,closed
002961.SZSE,2026-03-31 00:00:00,2026-04-03 00:00:00,22.22,21.71,14800.0,3.0,3.0,-0.022952295229522912,-7547.999999999971,,closed
603358.SSE,2026-03-31 00:00:00,2026-04-03 00:00:00,33.85,36.0,9900.0,3.0,3.0,0.06351550960118169,21284.999999999985,,closed
600452.SSE,2026-04-01 00:00:00,2026-04-07 00:00:00,11.65,10.84,29200.0,6.0,3.0,-0.06952789699570816,-23652.000000000015,,closed
300469.SZSE,2026-04-07 00:00:00,2026-04-10 00:00:00,53.5,54.99,6300.0,3.0,3.0,0.027850467289719738,9387.000000000013,,closed
600885.SSE,2026-04-07 00:00:00,2026-04-10 00:00:00,25.56,26.6,12900.0,3.0,3.0,0.04068857589984365,13416.000000000035,,closed
301137.SZSE,2026-04-08 00:00:00,2026-04-13 00:00:00,41.93,43.3,8000.0,5.0,3.0,0.03267350345814446,10959.99999999998,,closed
000004.SZSE,2026-04-13 00:00:00,2026-04-16 00:00:00,3.02,3.64,103700.0,3.0,3.0,0.20529801324503305,64294.000000000015,,closed
000818.SZSE,2026-04-13 00:00:00,2026-04-16 00:00:00,14.54,14.41,22300.0,3.0,3.0,-0.008940852819807388,-2898.9999999999777,,closed
300720.SZSE,2026-04-14 00:00:00,2026-04-17 00:00:00,52.8,60.8,6200.0,3.0,3.0,0.1515151515151516,49600.0,,closed
002575.SZSE,2026-04-17 00:00:00,2026-04-20 00:00:00,6.74,6.51,48100.0,3.0,1.0,-0.03412462908011871,-11063.00000000002,,closed
600636.SSE,2026-04-20 00:00:00,2026-04-21 00:00:00,5.79,5.69,54100.0,1.0,1.0,-0.017271157167530138,-5409.999999999981,,closed
600696.SSE,2026-04-17 00:00:00,2026-04-22 00:00:00,0.98,1.17,320300.0,5.0,3.0,0.19387755102040805,60856.999999999985,,closed
600421.SSE,2026-04-21 00:00:00,2026-04-24 00:00:00,5.23,4.76,62300.0,3.0,3.0,-0.089866156787763,-29281.00000000004,,closed
603360.SSE,2026-04-22 00:00:00,2026-04-27 00:00:00,23.89,23.17,13800.0,5.0,3.0,-0.03013813311008784,-9935.999999999984,,closed
001207.SZSE,2026-04-23 00:00:00,2026-04-28 00:00:00,18.0,18.0,18300.0,5.0,3.0,0.0,0.0,,closed
603169.SSE,2026-04-27 00:00:00,2026-04-30 00:00:00,8.16,8.34,40000.0,3.0,3.0,0.022058823529411686,7199.999999999989,,closed
300695.SZSE,2026-04-28 00:00:00,2026-05-06 00:00:00,60.92,60.85,5300.0,8.0,3.0,-0.0011490479317137758,-371.0000000000015,,closed
001331.SZSE,2026-04-29 00:00:00,2026-05-07 00:00:00,44.0,46.44,7300.0,8.0,3.0,0.05545454545454542,17811.99999999998,,closed
603313.SSE,2026-05-06 00:00:00,2026-05-08 00:00:00,6.47,6.15,51400.0,2.0,2.0,-0.04945904173106641,-16447.999999999967,,closed
688709.SSE,2026-05-07 00:00:00,2026-05-12 00:00:00,38.86,40.02,8500.0,5.0,3.0,0.029850746268656803,9860.000000000031,,closed
300663.SZSE,2026-05-08 00:00:00,2026-05-13 00:00:00,9.94,9.73,32800.0,5.0,3.0,-0.021126760563380143,-6887.99999999997,,closed
603619.SSE,2026-05-11 00:00:00,2026-05-14 00:00:00,29.51,28.85,11300.0,3.0,3.0,-0.022365299898339575,-7458.000000000002,,closed
002840.SZSE,2026-05-14 00:00:00,2026-05-15 00:00:00,10.23,11.2,32400.0,1.0,1.0,0.09481915933528828,31427.999999999964,,closed
002294.SZSE,2026-05-13 00:00:00,2026-05-15 00:00:00,38.8,36.24,8500.0,2.0,2.0,-0.06597938144329885,-21759.99999999996,,closed
300882.SZSE,2026-05-15 00:00:00,2026-05-20 00:00:00,18.55,19.13,17700.0,5.0,3.0,0.03126684636118582,10265.999999999969,,closed
301349.SZSE,2026-05-18 00:00:00,2026-05-21 00:00:00,46.61,51.4,6900.0,3.0,3.0,0.10276764642780511,33050.99999999999,,closed
002294.SZSE,2026-05-18 00:00:00,2026-05-21 00:00:00,35.15,36.01,9300.0,3.0,3.0,0.02446657183499279,7997.9999999999945,,closed
600539.SSE,2026-05-22 00:00:00,2026-05-26 00:00:00,13.71,15.6,24400.0,4.0,2.0,0.1378555798687089,46115.99999999997,,closed
603379.SSE,2026-05-21 00:00:00,2026-05-26 00:00:00,56.14,60.01,5800.0,5.0,3.0,0.06893480584253653,22445.999999999985,,closed
002987.SZSE,2026-05-22 00:00:00,2026-05-27 00:00:00,12.61,12.46,26200.0,5.0,3.0,-0.011895321173671536,-3929.9999999999627,,closed
000676.SZSE,2026-05-27 00:00:00,2026-05-28 00:00:00,6.12,5.83,54000.0,1.0,1.0,-0.04738562091503273,-15660.000000000002,,closed
300411.SZSE,2026-05-27 00:00:00,2026-06-01 00:00:00,8.28,8.02,39400.0,5.0,3.0,-0.03140096618357491,-10243.99999999999,,closed
002759.SZSE,2026-05-28 00:00:00,2026-06-01 00:00:00,30.24,27.73,10900.0,4.0,2.0,-0.08300264550264547,-27358.999999999978,,closed
002535.SZSE,2026-05-29 00:00:00,2026-06-02 00:00:00,2.49,2.76,134600.0,4.0,2.0,0.10843373493975883,36341.99999999994,,closed
002792.SZSE,2026-06-02 00:00:00,2026-06-05 00:00:00,39.2,41.0,8400.0,3.0,3.0,0.04591836734693877,15119.999999999976,,closed
688636.SSE,2026-06-02 00:00:00,2026-06-05 00:00:00,36.07,35.28,9100.0,3.0,3.0,-0.021901857499306843,-7188.999999999992,,closed
605255.SSE,2026-06-03 00:00:00,2026-06-08 00:00:00,84.08,76.0,3900.0,5.0,3.0,-0.09609895337773544,-31511.999999999993,,closed
000736.SZSE,2026-06-08 00:00:00,2026-06-09 00:00:00,4.56,4.56,69600.0,1.0,1.0,0.0,0.0,,closed
000820.SZSE,2026-06-08 00:00:00,2026-06-09 00:00:00,3.27,3.29,95900.0,1.0,1.0,0.006116207951070374,1918.0000000000016,,closed
301165.SZSE,2026-06-10 00:00:00,2026-06-12 00:00:00,58.0,57.83,5500.0,2.0,2.0,-0.0029310344827586654,-935.0000000000093,,closed
002969.SZSE,2026-06-09 00:00:00,2026-06-12 00:00:00,14.92,15.15,21800.0,3.0,3.0,0.015415549597855183,5014.000000000009,,closed
688710.SSE,2026-06-10 00:00:00,2026-06-15 00:00:00,52.81,53.17,6200.0,5.0,3.0,0.006816890740390047,2231.9999999999964,,closed
002174.SZSE,2026-06-15 00:00:00,2026-06-16 00:00:00,10.22,11.03,32700.0,1.0,1.0,0.07925636007827785,26486.99999999996,,closed
600536.SSE,2026-06-16 00:00:00,2026-06-17 00:00:00,30.0,28.58,10900.0,1.0,1.0,-0.04733333333333334,-15478.000000000018,,closed
603567.SSE,2026-06-15 00:00:00,2026-06-17 00:00:00,5.94,5.43,55000.0,2.0,2.0,-0.08585858585858597,-28050.000000000036,,closed
003001.SZSE,2026-06-17 00:00:00,2026-06-18 00:00:00,15.22,14.3,21600.0,1.0,1.0,-0.06044678055190533,-19872.0,,closed
001211.SZSE,2026-06-22 00:00:00,2026-06-23 00:00:00,32.2,30.57,10200.0,1.0,1.0,-0.05062111801242242,-16626.000000000025,,closed
002830.SZSE,2026-06-18 00:00:00,2026-06-24 00:00:00,14.65,17.52,22400.0,6.0,3.0,0.1959044368600682,64287.999999999985,,closed
002128.SZSE,2026-06-18 00:00:00,2026-06-24 00:00:00,24.23,24.64,13500.0,6.0,3.0,0.016921172100701654,5535.000000000002,,closed
600598.SSE,2026-06-25 00:00:00,2026-06-26 00:00:00,10.56,10.62,29400.0,1.0,1.0,0.005681818181818121,1763.9999999999625,,closed
